ds,y
1583408700000,0.0
1583409600000,0.0
1583410500000,0.0
1583411400000,0.0
1583412300000,104.0
1583413200000,86.0
1583414100000,156.0
1583415000000,77.0
1583415900000,4.0
1583416800000,178.0
1583417700000,113.0
1583418600000,21.0
1583419500000,3.0
1583420400000,0.0
1583421300000,0.0
1583422200000,0.0
1583423100000,0.0
1583424000000,0.0
1583424900000,0.0
1583425800000,0.0
1583426700000,0.0
1583427600000,0.0
1583428500000,0.0
1583429400000,0.0
1583430300000,0.0
1583431200000,0.0
1583432100000,0.0
1583433000000,0.0
1583433900000,0.0
1583434800000,0.0
1583435700000,0.0
1583436600000,0.0
1583437500000,0.0
1583438400000,0.0
1583439300000,0.0
1583440200000,0.0
1583441100000,0.0
1583442000000,0.0
1583442900000,0.0
1583443800000,0.0
1583444700000,0.0
1583445600000,0.0
1583446500000,0.0
1583447400000,0.0
1583448300000,0.0
1583449200000,0.0
1583450100000,0.0
1583451000000,0.0
1583451900000,0.0
1583452800000,0.0
1583453700000,0.0
1583454600000,0.0
1583455500000,0.0
1583456400000,0.0
1583457300000,0.0
1583458200000,0.0
1583459100000,0.0
1583460000000,0.0
1583460900000,0.0
1583461800000,0.0
1583462700000,0.0
1583463600000,0.0
1583464500000,0.0
1583465400000,0.0
1583466300000,0.0
1583467200000,0.0
1583468100000,0.0
1583469000000,0.0
1583469900000,0.0
1583470800000,0.0
1583471700000,0.0
1583472600000,0.0
1583473500000,0.0
1583474400000,0.0
1583475300000,0.0
1583476200000,0.0
1583477100000,0.0
1583478000000,0.0
1583478900000,0.0
1583479800000,0.0
1583480700000,0.0
1583481600000,0.0
1583482500000,0.0
1583483400000,0.0
1583484300000,0.0
1583485200000,0.0
1583486100000,0.0
1583487000000,0.0
1583487900000,0.0
1583488800000,0.0
1583490600000,0.0
1583491500000,44.0
1583492400000,93.0
1583493300000,0.0
1583494200000,0.0
1583495100000,1.0
1583496000000,0.0
1583496900000,0.0
1583497800000,0.0
1583498700000,1.0
1583499600000,0.0
1583500500000,0.0
1583501400000,0.0
1583502300000,0.0
1583503200000,0.0
1583504100000,33.0
1583505000000,26.0
1583505900000,0.0
1583506800000,0.0
1583507700000,0.0
1583508600000,0.0
1583509500000,0.0
1583510400000,0.0
1583511300000,0.0
1583512200000,0.0
1583513100000,0.0
1583514000000,0.0
1583514900000,0.0
1583515800000,0.0
1583516700000,0.0
1583517600000,0.0
1583518500000,0.0
1583519400000,0.0
1583520300000,0.0
1583521200000,0.0
1583522100000,0.0
1583523000000,0.0
1583523900000,0.0
1583524800000,0.0
1583525700000,0.0
1583526600000,0.0
1583527500000,0.0
1583528400000,0.0
1583529300000,0.0
1583530200000,0.0
1583531100000,0.0
1583532000000,0.0
1583532900000,0.0
1583533800000,0.0
1583534700000,0.0
1583535600000,0.0
1583536500000,0.0
1583537400000,0.0
1583538300000,0.0
1583539200000,0.0
1583540100000,0.0
1583541000000,0.0
1583541900000,0.0
1583542800000,0.0
1583543700000,0.0
1583544600000,0.0
1583545500000,0.0
1583546400000,0.0
1583547300000,0.0
1583548200000,0.0
1583549100000,0.0
1583550000000,0.0
1583550900000,0.0
1583551800000,0.0
1583552700000,0.0
1583553600000,0.0
1583554500000,0.0
1583555400000,0.0
1583557200000,0.0
1583558100000,0.0
1583559000000,0.0
1583559900000,0.0
1583560800000,0.0
1583561700000,0.0
1583562600000,0.0
1583563500000,0.0
1583564400000,0.0
1583565300000,0.0
1583566200000,0.0
1583567100000,0.0
1583568000000,0.0
1583568900000,0.0
1583569800000,13.0
1583570700000,69.0
1583571600000,131.0
1583572500000,228.0
1583573400000,366.0
1583574300000,558.0
1583575200000,703.0
1583576100000,781.0
1583577000000,833.0
1583577900000,857.0
1583578800000,913.0
1583579700000,917.0
1583580600000,945.0
1583581500000,980.0
1583582400000,977.0
1583583300000,993.0
1583584200000,991.0
1583585100000,988.0
1583586000000,986.0
1583586900000,962.0
1583587800000,940.0
1583588700000,930.0
1583589600000,906.0
1583590500000,876.0
1583591400000,839.0
1583592300000,796.0
1583593200000,738.0
1583594100000,669.0
1583595000000,636.0
1583595900000,541.0
1583596800000,383.0
1583597700000,173.0
1583598600000,20.0
1583599500000,0.0
1583600400000,0.0
1583601300000,0.0
1583602200000,0.0
1583603100000,0.0
1583604000000,0.0
1583604900000,0.0
1583605800000,0.0
1583606700000,0.0
1583607600000,0.0
1583608500000,0.0
1583609400000,0.0
1583610300000,0.0
1583611200000,0.0
1583612100000,0.0
1583613000000,0.0
1583613900000,0.0
1583614800000,0.0
1583615700000,0.0
1583616600000,0.0
1583617500000,0.0
1583618400000,0.0
1583619300000,0.0
1583620200000,0.0
1583621100000,0.0
1583622000000,0.0
1583622900000,0.0
1583623800000,0.0
1583624700000,0.0
1583625600000,0.0
1583626500000,0.0
1583627400000,0.0
1583628300000,0.0
