ds,y
1578441600000,111.0
1578442500000,116.0
1578443400000,118.0
1578444300000,116.0
1578445200000,117.0
1578446100000,117.0
1578447000000,116.0
1578447900000,116.0
1578448800000,116.0
1578449700000,117.0
1578450600000,116.0
1578451500000,120.0
1578452400000,128.0
1578453300000,124.0
1578454200000,117.0
1578455100000,118.0
1578456000000,117.0
1578456900000,117.0
1578457800000,118.0
1578458700000,115.0
1578459600000,117.0
1578460500000,117.0
1578461400000,119.0
1578462300000,114.0
1578463200000,116.0
1578464100000,66.0
1578465000000,66.0
1578465900000,68.0
1578466800000,80.0
1578467700000,220.0
1578468600000,207.0
1578469500000,206.0
1578470400000,204.0
1578471300000,206.0
1578472200000,202.0
1578473100000,251.0
1578474000000,442.0
1578474900000,957.0
1578475800000,1237.0
1578476700000,1316.0
1578477600000,1226.0
1578478500000,1247.0
1578479400000,1298.0
1578480300000,1289.0
1578481200000,1275.0
1578482100000,1329.0
1578483000000,1310.0
1578483900000,1256.0
1578484800000,1231.0
1578485700000,1293.0
1578486600000,1190.0
1578487500000,1149.0
1578488400000,1086.0
1578489300000,1214.0
1578490200000,1078.0
1578491100000,846.0
1578492000000,858.0
1578492900000,794.0
1578493800000,852.0
1578494700000,1026.0
1578495600000,911.0
1578496500000,727.0
1578497400000,850.0
1578498300000,998.0
1578499200000,847.0
1578500100000,902.0
1578501000000,1109.0
1578501900000,1063.0
1578502800000,901.0
1578503700000,1007.0
1578504600000,1135.0
1578505500000,836.0
1578506400000,605.0
1578507300000,596.0
1578508200000,594.0
1578509100000,570.0
1578510000000,470.0
1578510900000,440.0
1578511800000,463.0
1578512700000,384.0
1578513600000,379.0
1578514500000,380.0
1578515400000,380.0
1578516300000,387.0
1578517200000,393.0
1578518100000,241.0
1578519000000,122.0
1578519900000,121.0
1578520800000,123.0
1578521700000,120.0
1578522600000,122.0
1578523500000,121.0
1578524400000,122.0
1578525300000,121.0
1578526200000,120.0
1578527100000,122.0
1578528000000,114.0
1578528900000,122.0
1578529800000,127.0
1578530700000,134.0
1578531600000,127.0
1578532500000,122.0
1578533400000,121.0
1578534300000,122.0
1578535200000,122.0
1578536100000,120.0
1578537000000,122.0
1578537900000,120.0
1578538800000,121.0
1578539700000,120.0
1578540600000,122.0
1578541500000,120.0
1578542400000,122.0
1578543300000,120.0
1578544200000,132.0
1578545100000,133.0
1578546000000,121.0
1578546900000,123.0
1578547800000,120.0
1578548700000,122.0
1578549600000,120.0
1578550500000,71.0
1578551400000,70.0
1578552300000,69.0
1578553200000,72.0
1578554100000,216.0
1578555000000,210.0
1578555900000,211.0
1578556800000,208.0
1578557700000,252.0
1578558600000,279.0
1578559500000,281.0
1578560400000,457.0
1578561300000,1033.0
1578562200000,1543.0
1578564000000,2478.0
1578565800000,2010.0
1578566700000,1127.0
1578567600000,1304.0
1578568500000,1349.0
1578569400000,1221.0
1578570300000,1238.0
1578571200000,1259.0
1578572100000,1208.0
1578573000000,1198.0
1578573900000,883.0
1578574800000,1011.0
1578575700000,1156.0
1578576600000,900.0
1578577500000,860.0
1578578400000,1031.0
1578579300000,1068.0
1578580200000,1375.0
1578581100000,1619.0
1578582000000,1477.0
1578582900000,1391.0
1578583800000,1514.0
1578584700000,1422.0
1578585600000,1337.0
1578586500000,1602.0
1578587400000,1484.0
1578588300000,1422.0
1578589200000,1638.0
1578590100000,1588.0
1578591000000,1109.0
1578591900000,1184.0
1578592800000,1231.0
1578593700000,635.0
1578594600000,537.0
1578595500000,514.0
1578596400000,439.0
1578597300000,389.0
1578598200000,322.0
1578599100000,533.0
1578600000000,171.0
1578600900000,131.0
1578601800000,130.0
1578602700000,129.0
1578603600000,127.0
1578604500000,128.0
1578605400000,127.0
1578606300000,136.0
1578607200000,140.0
1578608100000,131.0
1578609000000,128.0
1578609900000,128.0
1578610800000,128.0
1578611700000,128.0
1578612600000,128.0
1578613500000,128.0
1578614400000,123.0
1578615300000,135.0
1578616200000,134.0
1578617100000,134.0
1578618000000,136.0
1578618900000,134.0
1578619800000,139.0
1578620700000,139.0
1578622500000,253.0
1578623400000,128.0
1578624300000,128.0
1578625200000,128.0
1578626100000,129.0
1578627000000,127.0
1578627900000,127.0
1578628800000,128.0
1578629700000,128.0
1578630600000,127.0
1578631500000,128.0
1578632400000,127.0
1578633300000,132.0
1578634200000,138.0
1578635100000,134.0
1578636000000,127.0
1578636900000,77.0
1578637800000,77.0
1578638700000,77.0
1578639600000,77.0
1578640500000,220.0
1578641400000,217.0
1578642300000,216.0
1578643200000,214.0
1578644100000,218.0
1578645000000,212.0
1578645900000,206.0
1578646800000,356.0
1578647700000,724.0
1578649500000,1324.0
1578650400000,650.0
1578651300000,645.0
1578652200000,763.0
1578653100000,695.0
1578654000000,640.0
1578654900000,682.0
1578655800000,628.0
1578656700000,631.0
1578657600000,852.0
1578658500000,849.0
1578659400000,607.0
1578660300000,539.0
1578661200000,543.0
1578662100000,670.0
1578663000000,572.0
1578663900000,703.0
1578664800000,596.0
1578665700000,624.0
1578666600000,685.0
1578667500000,625.0
1578668400000,659.0
1578669300000,766.0
1578670200000,781.0
1578671100000,807.0
1578672000000,969.0
1578672900000,1041.0
1578673800000,1071.0
1578674700000,1256.0
1578675600000,1170.0
1578676500000,1054.0
1578677400000,1045.0
1578678300000,899.0
1578679200000,641.0
1578680100000,392.0
1578681000000,399.0
1578681900000,272.0
1578682800000,213.0
1578683700000,211.0
1578684600000,208.0
1578685500000,208.0
1578686400000,336.0
1578687300000,213.0
1578688200000,176.0
1578689100000,128.0
1578690000000,109.0
1578690900000,110.0
1578691800000,108.0
1578692700000,107.0
1578693600000,108.0
